question,generated_answer,ground_truth
Was Abraham Lincoln the sixteenth President of the United States?,yes,yes
Did Lincoln sign the National Banking Act of 1863?,yes,yes
Did his mother die of pneumonia?,No,no
How many long was Lincoln's formal education?,18 months,18 months
When did Lincoln begin his political career?,1832,1832
What did The Legal Tender Act of 1862 establish?,United States Note,"the United States Note, the first paper currency in United States history"
Who suggested Lincoln grow a beard?,Grace Bedell,11-year-old Grace Bedell
When did the Gettysburg address argue that America was born?,1776,1776
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,yes
Was Abraham Lincoln the first President of the United States?,"was the sixteenth President of the United States, serving from March 4, 1861 until his assassination.",No
Did Lincoln start his political career in 1832?,yes,Yes
Did Lincoln ever represent Alton & Sangamon Railroad?,no,Yes
Which county was Lincoln born in?,Illinois,Hardin County
When did Lincoln first serve as President?,"March 4, 1861","March 4, 1861"
Who assassinated Lincoln?,John Wilkes Booth,John Wilkes Booth
Did Lincoln win the election of 1860?,"Lincoln was easily reelected in a landslide. He won all but two states, capturing 212 of 233 electoral votes.",Yes
Who was the general in charge at the Battle of Antietam?,McClellan,General McClellan
Why did Lincoln issue the Emancipation Proclamation?,freed slaves in territories not under Union control,To free slaves 
Do scholars rank lincoln among the top three presidents?,yes,Yes
Did lincoln have 18 months of schooling?,yes,Yes
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln won the Republican Party nomination in 1860 and was elected president later that year,Yes
How old was Lincoln in 1816?,seven years old,seven
When was the first photgraph of lincoln taken?,1846,1846
How long was Lincoln's legal Career?,23-year,23 years
What trail did Lincoln use a Farmers' Almanac in? ,Kentucky,"he defended William ""Duff"" Armstrong"
Did Abraham Lincoln live in the Frontier?,no,Yes
Did Lincoln's Wife's Family support slavery?,no,Yes
Who is most noted for his contributions to the theory of molarity and molecular weight?,Lorenzo Romano Amedeo Carlo Avogadro,Amedeo Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Fillmore,Amedeo Avogadro
When did he publish another memoria?,1821,1821
When did he become a professor?,1833,1820
Is it true that he became a professor in 1820?,yes,yes
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,yes
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,yes
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,yes
Was King Victor Emmanuel III there to pay homage to Avogadro ?,King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist.,yes
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,Avogadro's number is commonly used to compute the results of chemical reactions,yes
Did the scientific community not reserve great attention to his theory ?,The scientific community did not reserve great attention to his theory,yes
Can the title of this famous 1811 paper be roughly translated into english?,yes,yes
What happened in 1833?,he sent a message to Congress recommending that Texas be paid to abandon its claims to part of New Mexico,Avogadro had been recalled to Turin university
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Anders Celsius
What is named after him?,The Celsius crater on the Moon,The Celsius crater on the Moon
When did he publish a collection?,In 1841,1733
Is it true that he published a collection in 1738?,no,No
Is it true that thermometer had 100 for the freezing point?,yes,Yes
Was Celsius born in Uppsala in Sweden?,yes,Yes
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",yes,Yes
Is The Celsius crater on the Moon named after him?,yes,Yes
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Anders Celsius
The Celsius crater on the Moon is what?,named after him,named after him
Is the Celsius crater on the Moon named after him ?,yes,Yes
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,His thermometer had 100 for the freezing point of water and 0 for the boiling point.,Yes it had
Was Celsius born in Uppsala in Sweden ?,Yes,Yes
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,he further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure,Yes he did
What happened from 1730 to 1744?,"Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland",He was professor of astronomy at Uppsala University
What happened in 1745?,"Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland",The scale was reversed
Are beetles insects?,"Many agricultural, forestry, and household insect pests",Yes
Can beetles be found in polar regions?,no,No
Do beetles antennae function primarily as organs of smell?,yes,Yes
What are the three sections of a beetle?,"the head, the thorax, and the abdomen","the head, the thorax, and the abdomen"
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,mimicry
Which type of beetle is a pest of potato plants?,Colorado potato beetle,Colorado potato beetle
How can beetle larvae be differentiated from other insect larvae?,"hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
What do beetles eat?,plants and fungi,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
What are the similarities between beetles and grasshoppers?,beetles are endopterygotes with complete metamorphosis,mouthparts
Are certain species of beetles considered pests?,"Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour bee",Yes
Is a beetle's general anatomy uniform?,yes,Yes
Are beetles endopterygotes?,Beetles are endopterygotes with complete metamorphosis,yes
How many species of beetles are there?,"350,000","350,000"
When are sperm cells transferred to the female?,During pairing,during pairing
What is the study of beetles called?,coleopterology,coleopterology
"Is it possible that there are more than 350,000 species of beetles?",Yes,yes
Is the Adephaga suborder larger than the Polyphaga suborder?,yes,no
Do carrion beetles eat dung?,yes,no
What are prey of various animals including birds and mammals?,ducklings,Beetles.
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""","The name ""Coleoptera""."
Who or what vary greatly in form within the coleoptera?,beetles,Antennae.
Are many beetles territorial?,"Such a large number of species poses special problems for classification, with some families consisting of thousands of species and needing further division into subfamilies and tribes",Yes.
Are beetles endopterygotes with complete metamorphosis?,yes,Yes.
Oxygen is what?,tracheal system,One kind of gas obtained via a tracheal system.
