question,generated,ground_truth,f1
When did Lincoln first serve as President?,"-February-12, 1809 â April 15, 1865","March 4, 1861",0.0
Did Lincoln win the election of 1860?,"Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party.",Yes,0.0
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln was eventually chosen as the Republican candidate for the 1860 election,Yes,0.0
When was the first photgraph of lincoln taken?,"February 27, 1860",1846,0.0
How long was Lincoln's legal Career?,23-year,23 years,0.0
What trail did Lincoln use a Farmers' Almanac in? ,unanswerable,"he defended William ""Duff"" Armstrong",0.0
Did Abraham Lincoln live in the Frontier?,no,Yes,0.0
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,John Adams,Amedeo Avogadro,0.0
Was King Victor Emmanuel III there to pay homage to Avogadro ?,King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist.,yes,0.0
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,Avogadro's number is commonly used to compute the results of chemical reactions,yes,0.0
