question,generated,ground_truth,f1
Did Lincoln ever represent Alton & Sangamon Railroad?,"he represented the Alton & Sangamon Railroad in a dispute with a shareholder, James A. Barret",Yes,0.0
When did Lincoln first serve as President?,"-February-12, 1809 â April 15, 1865","March 4, 1861",0.0
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln won the Republican Party nomination in 1860 and was elected president later that year,Yes,0.0
How old was Lincoln in 1816?,7,seven,0.0
How long was Lincoln's legal Career?,23-year,23 years,0.0
What trail did Lincoln use a Farmers' Almanac in? ,unanswerable,"he defended William ""Duff"" Armstrong",0.0
Did Abraham Lincoln live in the Frontier?,no,Yes,0.0
Did Lincoln's Wife's Family support slavery?,no,Yes,0.0
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Faraday,Amedeo Avogadro,0.0
When did he become a professor?,1833,1820,0.0
