question,generated_answer,ground_truth
Was Abraham Lincoln the sixteenth President of the United States?,yes,yes
Did Lincoln sign the National Banking Act of 1863?,Yes,yes
Did his mother die of pneumonia?,No,no
How many long was Lincoln's formal education?,18 months,18 months
When did Lincoln begin his political career?,1832,1832
What did The Legal Tender Act of 1862 establish?,United States Note,"the United States Note, the first paper currency in United States history"
Who suggested Lincoln grow a beard?,"Grace Bedell Young Abraham Lincoln * Morgenthau, Hans J., and David Hein",11-year-old Grace Bedell
When did the Gettysburg address argue that America was born?,1776,1776
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,yes
Was Abraham Lincoln the first President of the United States?,no,No
Did Lincoln start his political career in 1832?,yes,Yes
Did Lincoln ever represent Alton & Sangamon Railroad?,yes,Yes
Which county was Lincoln born in?,Hardin County,Hardin County
When did Lincoln first serve as President?,"-February-12, 1809 â April 15, 1865","March 4, 1861"
Who assassinated Lincoln?,John Wilkes Booth,John Wilkes Booth
Did Lincoln win the election of 1860?,"Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party.",Yes
Who was the general in charge at the Battle of Antietam?,McClellan,General McClellan
Why did Lincoln issue the Emancipation Proclamation?,freed slaves in territories not under Union control,To free slaves 
Do scholars rank lincoln among the top three presidents?,yes,Yes
Did lincoln have 18 months of schooling?,yes,Yes
Was Lincoln chosen as a presidential candidate in 1860?,Lincoln was eventually chosen as the Republican candidate for the 1860 election,Yes
How old was Lincoln in 1816?,seven years old,seven
When was the first photgraph of lincoln taken?,"February 27, 1860",1846
How long was Lincoln's legal Career?,23-year,23 years
What trail did Lincoln use a Farmers' Almanac in? ,unanswerable,"he defended William ""Duff"" Armstrong"
Did Abraham Lincoln live in the Frontier?,no,Yes
Did Lincoln's Wife's Family support slavery?,yes,Yes
Who is most noted for his contributions to the theory of molarity and molecular weight?,Lorenzo Romano Amedeo Carlo Avogadro,Amedeo Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,John Adams,Amedeo Avogadro
When did he publish another memoria?,1821,1821
When did he become a professor?,1820,1820
Is it true that he became a professor in 1820?,yes,yes
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,yes
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,yes
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,yes
Was King Victor Emmanuel III there to pay homage to Avogadro ?,King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist.,yes
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,Avogadro's number is commonly used to compute the results of chemical reactions,yes
Did the scientific community not reserve great attention to his theory ?,The scientific community did not reserve great attention to his theory,yes
Can the title of this famous 1811 paper be roughly translated into english?,yes,yes
What happened in 1833?,Cleveland forced Britain to agree to arbitration of a disputed boundary in Venezuela,Avogadro had been recalled to Turin university
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Anders Celsius
What is named after him?,The Celsius crater on the Moon,The Celsius crater on the Moon
When did he publish a collection?,In 1841,1733
Is it true that he published a collection in 1738?,no,No
Is it true that thermometer had 100 for the freezing point?,yes,Yes
Was Celsius born in Uppsala in Sweden?,yes,Yes
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",yes,Yes
Is The Celsius crater on the Moon named after him?,yes,Yes
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Anders Celsius
The Celsius crater on the Moon is what?,named after him,named after him
